Date,Open,High,Low,Close ,Adj Close ,Volume
"Jul 1, 2018",3.65,3.91,3.5,3.6,3.31,"208,422,000"
"Jun 11, 2018",0.095 Dividend ,,,,,
"Jun 1, 2018",3.2,3.99,3.17,3.64,3.26,"619,957,200"
"May 1, 2018",3.39,3.47,3.07,3.3,2.95,"394,070,800"
"Apr 1, 2018",3.13,3.55,3.13,3.41,3.05,"377,341,600"
"Mar 2, 2018",0.095 Dividend ,,,,,
"Mar 1, 2018",3.95,4.06,3.05,3.15,2.76,"413,121,600"
"Feb 1, 2018",4.18,4.25,3.78,3.92,3.43,"260,966,000"
"Jan 1, 2018",4.49,5.08,4.15,4.2,3.67,"359,098,000"
"Dec 1, 2017",4.68,4.97,4.49,4.49,3.92,"231,505,200"
"Nov 30, 2017",0.095 Dividend ,,,,,
"Nov 1, 2017",4.67,4.92,3.96,4.69,4.02,"427,797,200"
"Oct 1, 2017",5.16,5.17,4.65,4.67,4,"152,454,800"
"Sep 7, 2017",0.095 Dividend ,,,,,
"Sep 1, 2017",4.65,5.24,4.64,5.16,4.34,"161,517,600"
"Aug 1, 2017",5.42,5.59,4.62,4.63,3.88,"286,556,400"
"Jul 1, 2017",5.44,5.5,5.16,5.42,4.55,"141,908,000"
"Jun 5, 2017",0.095 Dividend ,,,,,
"Jun 1, 2017",5.54,5.74,5.07,5.4,4.46,"222,802,000"
"May 1, 2017",5.69,6.33,5.31,5.53,4.57,"304,452,800"
"Apr 1, 2017",5.63,5.99,5.39,5.67,4.68,"192,458,000"
"Mar 10, 2017",0.095 Dividend ,,,,,
"Mar 1, 2017",6.14,6.33,5.06,5.64,4.58,"346,333,600"
"Feb 1, 2017",6.12,6.67,5.89,6.11,4.97,"162,952,400"
"Jan 1, 2017",6.36,6.51,5.57,6.12,4.98,"245,090,400"
"Dec 1, 2016",6.16,6.71,6.03,6.32,5.14,"171,006,400"
"Nov 29, 2016",0.0925 Dividend ,,,,,
"Nov 1, 2016",6,6.62,5.03,6.17,4.95,"283,342,800"
"Oct 1, 2016",6.9,6.97,5.92,6.01,4.82,"206,180,000"
"Sep 7, 2016",0.0925 Dividend ,,,,,
"Sep 1, 2016",7.12,7.17,6.67,6.9,5.45,"164,595,200"
"Aug 1, 2016",7.74,8.17,7.07,7.1,5.61,"278,633,600"
"Jul 1, 2016",6.72,7.96,6.43,7.74,6.12,"234,003,600"
